line,x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
340,-0.758,0.6,-0.209,-37.561,-173.354,221.128
341,-0.495,0.455,-0.209,-36.738,-192.53,211.037
342,-0.164,0.324,-0.168,-36.159,-201.463,195.884
343,0.128,0.165,-0.18,-37.226,-202.591,175.732
344,0.328,0.008,-0.206,-37.744,-194.512,152.805
345,0.53,-0.109,-0.253,-35.091,-174.878,124.634
346,0.74,-0.207,-0.27,-33.811,-145.976,89.451
347,0.938,-0.32,-0.247,-34.695,-110.427,49.329
348,1.002,-0.493,-0.24,-36.768,-78.75,5.152
349,0.893,-0.65,-0.206,-35.701,-55.366,-37.226
350,0.706,-0.709,-0.159,-28.902,-43.933,-75.762
351,0.544,-0.735,-0.115,-22.439,-44.878,-111.189
352,0.411,-0.745,-0.09,-14.726,-49.878,-141.982
353,0.265,-0.699,-0.089,-4.024,-51.707,-167.774
354,0.128,-0.642,-0.077,8.567,-49.634,-190.213
355,0.006,-0.577,-0.006,23.171,-44.543,-208.598
356,-0.128,-0.527,0.062,36.311,-35.976,-223.963
357,-0.256,-0.487,0.057,50.884,-26.768,-238.11
358,-0.334,-0.416,0.026,69.756,-16.524,-248.171
359,-0.386,-0.3,-0.025,92.622,0.03,-255.274
360,-0.416,-0.153,-0.098,113.323,31.463,-261.799
361,-0.455,-0.057,-0.218,126.433,71.25,-270.64
362,-0.637,-0.035,-0.35,135.732,108.323,-280.762
363,-0.912,-0.02,-0.389,140.793,139.116,-290
364,-1.168,0.014,-0.375,143.72,149.36,-299.207
365,-1.329,0.107,-0.426,146.341,138.293,-307.043
366,-1.406,0.247,-0.425,138.018,121.951,-316.585
367,-1.429,0.344,-0.327,115.457,109.39,-331.28
368,-1.397,0.424,-0.268,93.445,95.854,-347.5
369,-1.337,0.526,-0.216,73.14,81.707,-359.512
370,-1.353,0.577,-0.207,51.799,72.134,-368.293
371,-1.367,0.636,-0.274,41.463,72.195,-370.183
372,-1.281,0.843,-0.332,42.896,88.018,-360.457
373,-1.174,1.161,-0.454,46.189,124.299,-344.299
374,-1.137,1.554,-0.69,46.128,175.396,-322.317
375,-1.209,1.952,-1.012,40,220.396,-296.311
376,-1.461,2.187,-1.29,19.756,236.646,-272.348
377,-1.812,2.205,-1.415,-12.317,216.098,-247.043
378,-1.979,2.213,-1.336,-50,170.518,-210.823
379,-1.921,2.286,-1.279,-93.963,125.488,-171.707
380,-1.839,2.325,-1.301,-142.988,103.171,-135.884
381,-1.831,2.19,-1.306,-191.646,103.628,-99.421
382,-2.027,1.954,-1.444,-230.244,110.457,-61.616
383,-2.62,1.734,-1.7,-257.835,95.823,-24.848
384,-3.208,1.46,-1.727,-275.854,61.159,16.555
385,-3.555,1.281,-1.733,-281.89,16.585,72.683
386,-3.918,1.215,-1.873,-288.415,-7.927,136.159
387,-4.17,1.05,-1.959,-304.207,9.085,207.012
388,-4.409,0.808,-2.09,-321.372,43.018,281.524
389,-4.719,0.483,-2.298,-340.305,70.213,346.799
390,-4.967,0.054,-2.381,-359.329,66.799,404.848
391,-5.145,-0.438,-2.269,-370.854,22.591,453.872
392,-5.094,-0.926,-2.049,-373.872,-46.128,493.354
393,-4.643,-1.446,-1.744,-369.817,-113.933,521.098
394,-3.897,-1.931,-1.389,-351.494,-152.896,535.671
395,-2.92,-2.248,-0.99,-318.75,-147.683,533.201
396,-1.862,-2.54,-0.832,-274.756,-109.604,509.756
397,-0.779,-2.802,-0.945,-216.341,-43.933,461.494
398,0.291,-2.812,-0.805,-143.018,49.36,385.671
399,0.998,-2.716,-0.242,-90.701,136.89,290.884
400,0.934,-2.826,0.393,-93.689,150.701,191.494
401,0.497,-3.019,0.729,-139.055,65.64,96.372
402,0.62,-3.25,0.592,-189.512,-73.354,-7.134
403,1.24,-3.338,0.446,-200.793,-182.805,-104.299
404,1.557,-3.221,0.563,-169.512,-199.299,-178.201
405,1.199,-2.936,0.765,-105.396,-157.439,-225.823
406,0.531,-2.575,0.887,-24.878,-109.756,-252.012
407,-0.067,-2.195,0.784,53.11,-70.396,-263.933
408,-0.528,-1.794,0.466,124.421,-33.567,-265.64
409,-0.96,-1.339,0.022,187.866,11.86,-252.713
410,-1.418,-0.865,-0.528,238.598,60.671,-232.348
411,-1.832,-0.388,-1.024,274.207,89.512,-205.671
412,-2.059,0.12,-1.43,292.866,85.396,-175.976
